Company/Brand,Stage,Amount($),Location,What_it_does,Sector
Wooden Street,Series A,1000000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,Real Estate
The Ken,Series A,1500000.0,Bengaluru,The Ken is India’s first subscriptions-only business news site,Media & Entertainment
SaffronStays,Seed,2000000.0,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,Technology
Vebbler,Seed,1000000.0,Bengaluru,A personal network for close people,Media & Entertainment
Foyr,Series A,4200000.0,Pune,"Foyr.com is India's first online, automated interior designer",Real Estate
MEngage,Seed,175000.0,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,Healthcare
Inner Being Wellness,Angel,1000000.0,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",Technology
Kobster,Seed,1000000.0,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,E-commerce
Wishberry,Series A,1000000.0,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Finance
McXtra,Seed,1300000.0,Andheri,McXtra is a digital insurance broking startup.,Finance
Magic Crate,Seed,1000000.0,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Education
SmartVizX,Seed,1450000.0,Noida,It is a Virtual Reality Solutions StartUp,Media & Entertainment
MySEODoc,Seed,1000000.0,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",Technology
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Seed,1000000.0,Pune,Digital Marketing Agency,Technology
Scale Labs,Seed,1000000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,Technology
HungerBox,Series A,4500000.0,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,Food & Beverage
Biryani By Kilo,Seed,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,Food & Beverage
Wholesome Habits (EAT Anytime),Seed,500000.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,Food & Beverage
GoBumpr,Seed,600000.0,Mylapore,Car Service and Bike Service Mobile App,Engineering
Fixpocket,Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,Technology
edureka!,Series A,2000000.0,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Education
Hashtag Loyalty Private Limited,Seed,1000000.0,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,E-commerce
Wow Express,Series A,4500000.0,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",Technology
ZunRoof,Angel,1000000.0,Gurgaon,ZunRoof is a rooftop focused solar startup.,Energy
Eggoz,Angel,1000000.0,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,Food & Beverage
Sqrrl Fintech,Seed,1000000.0,Gurgaon,Personal Finance,Finance
GalaxyCard,Seed,1000000.0,Noida,GalaxyCard is a mobile based Instant credit card.,Finance
IndiQube,Series A,15000000.0,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,Real Estate
EGK Foods,Seed,1000000.0,Mumbai,A food processing enterprise registered with StartUp India .,Food & Beverage
NirogStreet,Seed,300000.0,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Healthcare
Pixr8,Seed,50000.0,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,Services
Nivesh.com,Seed,1000000.0,Noida,Nivesh.com is a mass market mutual funds investment platform.,Finance
Theranosis Life Sciences,Seed,1000000.0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,Healthcare
Poshmiles Online Solutions Private Limited,Seed,1000000.0,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Transportation & Logistics
Reculta,Seed,1000000.0,Noida,A campus recruitment solution provider.,Education
Orbo.ai,Seed,1000000.0,Mumbai,Orbo is a computer vision and deep facial technology company.,Technology
Inntot Technologies,Seed,1000000.0,Kochi,"Inntot Technologies, is a technology driven company.",Technology
Zoctr Health,Seed,1000000.0,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Healthcare
Hey Deedee,Seed,1000000.0,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Transportation & Logistics
DigiConnectt Technologys,Seed,125000.0,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Technology
Locus.sh,Series A,4000000.0,Bangalore,Locus is an intelligent logistics automation platform.,Transportation & Logistics
Sports Flashes Pvt. Ltd,Seed,1000000.0,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Sports
Inc42,Seed,1000000.0,New Delhi,Inc42 is one of the leading tech media publications of India.,Media & Entertainment
Picxy,Seed,130000.0,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",Technology
Huddle,Seed,300000.0,Haryana,A coworking incubator Company.,Services
Benepik,Seed,1000000.0,Gurgaon,HR Technology start-up.,Human Resources
Cash Suvidha,Seed,1000000.0,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Finance
Smartcoin,Seed,2000000.0,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,Finance
Carmel Organics,Series A,1000000.0,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Agriculture
Roadcast,Angel,250000.0,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,Technology
Printline Media(ThePrint),Seed,1000000.0,New Delhi,A digital news platform.,Media & Entertainment
Creditas Solutions,Seed,1000000.0,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Finance
UrbanPiper,Seed,1000000.0,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Technology
Doxper,Seed,1000000.0,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Healthcare
i2ifunding,Angel,1000000.0,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Finance
ShakeDeal,Seed,1000000.0,Bangalore,Home of B2B Commerce,E-commerce
HelloVerify,Seed,1000000.0,Noida,HelloVerify is an online background check platform.,Technology
Fasal,Seed,120000.0,Bengaluru,Climate Smart Precision Agriculture Platform,Agriculture
CoinGeto,Seed,1000000.0,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,Technology
Avail Finance,Series A,17200000.0,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,Finance
Tripeur,Seed,600000.0,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Technology
Wedeterna,Angel,1000000.0,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Services
Stumagz,Seed,1000000.0,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Media & Entertainment
Doubtnut,Seed,1000000.0,Gurgaon,Gurgaon based E-learning platform.,Education
MCaffeine,Seed,1000000.0,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,E-commerce
TrustCheckr,Angel,100000.0,Bengaluru,A Bengaluru-based fraud analytics solution provider .,Technology
HealthAssure,Seed,1000000.0,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,Healthcare
Picture TIme,Seed,1000000.0,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,Media & Entertainment
1Crowd,Angel,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Finance
Aarav Unmanned Systems,Seed,1000000.0,Bangalore,Professional Drones for Enterprise Applications,Technology
Wellthy Therapeutics Pvt Ltd,Seed,1000000.0,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Healthcare
Nua,Seed,1000000.0,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,E-commerce
Kuvera.in,Angel,250000.0,Bangalore,An online platform for mutual fund investments.,Finance
Livehealth,Seed,1100000.0,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Healthcare
Gramophone,Seed,1000000.0,Indore,An agricultural inputs startup Company.,Agriculture
Ora,Seed,1000000.0,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,E-commerce
Buddy4Study.com,Series A,3000000.0,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Education
Predible Health,Seed,1000000.0,Bangalore,Healthcare devices for cancer detection,Healthcare
Syncremedies Healthcare Pvt Ltd,Seed,1000000.0,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Healthcare
Blueleaf Cyberspace Systems,Seed,1000000.0,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,Technology
Toffee,Seed,1500000.0,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Technology
ORO Wealth,Series A,1600000.0,Mumbai,Online wealth management platform,Technology
HealWell24,Seed,200000.0,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Healthcare
Acko General Insurance,Series A,12000000.0,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Finance
arzooo.com,Seed,1000000.0,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,E-commerce
Bonphul Air Products,Angel,1000000.0,Delhi,A clean tech product Company,Services
DheeYantra Research Labs,Seed,1000000.0,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Technology
Edyoo,Seed,1000000.0,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Education
Chtrbox,Angel,1000000.0,Mumbai,Chtrbox connects social media influencers with brands .,Media & Entertainment
Aashiyaan Housing and Development Finance,Seed,1000000.0,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Finance
BetterPlace Safety Solutions Pvt. Ltd.,Series A,3000000.0,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Human Resources
Cashkumar,Seed,1000000.0,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Finance
Rocketium,Seed,1000000.0,Bangalore,Easy video creation for social media.,Media & Entertainment
FreightBazaar,Seed,1000000.0,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Transportation & Logistics
OPEN,Seed,1000000.0,Bangalore,Open up to a new world of Banking,Finance
mfine,Series A,4200000.0,Bengaluru,Hospital & Health Care Start up,Healthcare
Earth Food,Seed,1000000.0,Pune,Earth Food is a healthy Food Start Up.,Food & Beverage
Charcoal Eats,Seed,1000000.0,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,Agriculture
Wishfie,Seed,1000000.0,Bangalore,A platform for people to express their opinions in form of short videos around any topic.,Technology
The Social Hook,Seed,1000000.0,Bengaluru,Fast growing Influencer Marketing platform in India.,E-commerce
FreightBro,Seed,1000000.0,Mumbai,Software for the new-age freight,Transportation & Logistics
Finwego,Seed,1000000.0,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Technology
Cricnwin,Seed,1000000.0,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,Sports
Wicked Ride Adventure Services Private Limited,Unknown Stage,10000000.0,Bangalore,Peer-to-Peer motor vehicles sharing,Transportation & Logistics
Career Anna,Seed,1000000.0,Bangalore,India's Go to Career Commerce Portal,Technology
ERUDITUS Executive Education,Series C,40000000.0,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Education
Gaia Smart Cities,Seed,1000000.0,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Real Estate
Square Off,Seed,1100000.0,Mumbai,Delivering Imagination,Technology
UrbanClap,Later Stage,50000000.0,Delhi,UrbanClap is India's leading managed marketplace for home services.,E-commerce
Hospals,Seed,1500000.0,New Delhi,Hospals is a medical tourism company.,Transportation & Logistics
Kogta Financial India Limited,Series B,1000000.0,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Finance
Perspectico,Seed,1000000.0,New Delhi,An Education Management startup.,Education
The Souled Store,Unknown Stage,3000000.0,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Real Estate
Hush - Speak Up. Make Work Better,Seed,1000000.0,Bangalore,Enabling diversity of opinions in organizations,Lifestyle
Drivezy,Debt Financing,100000000.0,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Engineering
Freyr Energy,Series A,1500000.0,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Energy
NIRAMAI Health Analytix,Seed,6000000.0,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Healthcare
CloudSek,Seed,1000000.0,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Technology
Lendbox,Seed,1000000.0,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.,Finance
Verloop,Series A,3000000.0,Bangalore,Verloop is an automated customer support and engagement platform.,Technology
Flickstree,Seed,1000000.0,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",Technology
Paymatrix,Seed,100000.0,Hyderabad,India's Leading Property Rent management platform,Real Estate
Idha Skin Clinic,Seed,1000000.0,Bangalore City,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Lifestyle
InCred,Equity,41900000.0,Mumbai,InCred Finance is a mumbai-based non-banking financial company,Finance
Vedantu,Series B,11000000.0,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,Education
Sportido,Seed,1000000.0,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Sports
Stelis Biopharma,Series B,100000000.0,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company,Healthcare
Magicpin,Series C,1000000.0,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",E-commerce
Try & Buy,Seed,1000000.0,New Delhi,Try & Buy,E-commerce
Mech Mocha,Series B,3530000.0,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,Media & Entertainment
Aye Finance,Debt Financing,1000000.0,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.,Finance
Aldopay,Seed,200000.0,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Services
Detect Technologies,Series A,3300000.0,Chennai,Completely automated remote control system.,Technology
Signzy,Series A,1000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,Technology
CashRich,Seed,1000000.0,Mumbai,A Mumbai-based fin-tech startup,Finance
Cloudnine Hospitals,Equity,1000000.0,Bangalore,Cloudnine is an Indian chain of women and child care hospitals.,Healthcare
CropIn Technologies,Series B,1000000.0,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",Agriculture
Billdesk,Unknown Stage,1000000.0,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Real Estate
Yaantra,Debt Financing,2000000.0,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",Technology
TECHBOOZE,Seed,100000.0,New Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",Education
HealthifyMe,Series B,6000000.0,Bangalore,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Lifestyle
hoi foods,Seed,1000000.0,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,Food & Beverage
Perpule,Series A,1000000.0,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,E-commerce
Royal Sundaram General Insurance Co. Limited,Later Stage,210000000.0,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",Finance
CleanseCar,Angel,1000000.0,Bangalore,CleanseCar is a company provides Washing and Repair Services.,Engineering
DRIVEU,Unknown Stage,1000000.0,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,Transportation & Logistics
Spinny,Series A,11000000.0,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.,E-commerce
Asset Reconstruction Company (India) Ltd.,Equity,1000000.0,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,Finance
Med365 Healthcare,Seed,1000000.0,Jaipur,"Wellness, Specialised Testing, Healthcare at Home",Healthcare
Dunzo,Debt Financing,1000000.0,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,Services
Mobile Premier League (MPL),Series A,5000000.0,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,Sports
WalMart India,Unknown Stage,37680000.0,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",Transportation & Logistics
Cred,Seed,1000000.0,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.,Technology
Meesho,Series C,50000000.0,Bangalore,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",E-commerce
BhaskarGuru,Seed,1000000.0,Bhopal,Bhaskarguru.com is your local search Engine,Technology
Gugu,Seed,250000.0,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,Engineering
FarmTaaza,Series A,1000000.0,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,Agriculture
Vizzbee,Pre-Seed,20000.0,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,Technology
BIGPHI TECHNOLOGIES PVT. LTD.,Angel,900000.0,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,Lifestyle
Mobycy,Angel,1000000.0,Gurgaon,India's 1st Dockless Bicycle Sharing App,Lifestyle
Traveo Soft Pvt. Ltd.,Unknown Stage,1000000.0,Bangalore,AI based Business Travel & Expense management,Transportation & Logistics
Em Personal Care,Seed,1000000.0,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,Lifestyle
Lucideus,Unknown Stage,5000000.0,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",Education
Eupheus Learning,Seed,1000000.0,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,Education
GamingMonk,Series A,1000000.0,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",Sports
Sukkhi Jewellery,Unknown Stage,1000000.0,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,Lifestyle
INDwealth,Seed,1000000.0,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,Finance
Medikabazaar,Series A,5000000.0,Mumbai,India's largest medical and surgical supplies marketplace,Healthcare
NIRA,Seed,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",Finance
Duroflex Pvt. Ltd.,Equity,22000000.0,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,Manufacturing
Clensta,Seed,1000000.0,New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,Healthcare
Jetbrain Robotics,Seed,70000.0,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",Healthcare
Medimetry,Seed,1000000.0,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",Healthcare
Healthkart,Unknown Stage,10000000.0,Gurgaon,"The one stop shop for health, fitness & beauty.",Healthcare
Indiabulls Ventures,Later Stage,1000000.0,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,Finance
Vistara,Equity,1000000.0,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),Engineering
ClearTax,Series B,1000000.0,New Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,Finance
Shuttl,Debt Financing,1000000.0,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",Transportation & Logistics
GuruQ,Seed,1000000.0,New Delhi,A one of its kind digital integrated platform connecting tutors and students.,Education
Azure Power,Later Stage,185000000.0,New Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",Energy
Cube,Series A,1000000.0,Mumbai,Cube is consumer banking focused fintech company.,Finance
RAHI Care,Unknown Stage,1000000.0,Chandigarh,RAHI Care is a Health Care company.,Healthcare
Mynvax,Angel,1000000.0,Bangalore,Mynvax is a biotech Company.,Healthcare
Loans4SME,Seed,1000000.0,Mumbai,Loans4SME is an alternative lending platform.,Finance
UpCyclersLab,Seed,1000000.0,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,Education
Cellerite Systems,Seed,1000000.0,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,Engineering
Taru Naturals,Seed,1000000.0,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,Agriculture
LetsMD,Seed,1000000.0,New Delhi,LetsMD.com is a marketplace for elective surgeries,Healthcare
Twenty Two Motors,Later Stage,65000000.0,Haryana,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,Engineering
Truebil,Series A,2000000.0,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",E-commerce
FarmersFZ,Seed,1000000.0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Agriculture
Worxogo,Series A,1000000.0,Bangalore,worxogo’s is a pioneering persuasive technology products align employee behaviours .,Technology
Vivish Technologies (myGate),Series A,1000000.0,Bengaluru,India's leading mobile based security management solution .,Technology
Singularity Dynamics,Seed,1000000.0,Bengaluru,Singularity Dynamics is a Chip-design testing startup.,Technology
Virtual MetalStreet(MetalStreet),Angel,700000.0,Bengaluru,Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,E-commerce
Veritas Finance,Unknown Stage,30000000.0,Guindy,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,Finance
Manjushree Technopack,Equity,1000000.0,Bangalore,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,Manufacturing
GoZefo,Unknown Stage,1000000.0,Bangalore,Startup working on a white space in the eCommerce industry.,E-commerce
Zomato,Equity,210000000.0,Gurgaon,Zomato is a search app offering detailed information for restaurants as well as online food delivery.,Hospitality
Innov8 Coworking,Seed,4000000.0,New Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,Real Estate
RevFin,Seed,1000000.0,Delhi,RevFin is a digital lending company.,Finance
Lavelle Networks,Unknown Stage,1000000.0,Bengaluru,Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,Technology
Blackbuck,Later Stage,1000000.0,Bengaluru,Blackbuck is a logistics startup based in India.,Transportation & Logistics
Cardekho,Series C,75000000.0,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,E-commerce
ElasticRun,Series B,1000000.0,Pune,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,Transportation & Logistics
Droom Technology Private Limited,Later Stage,30000000.0,Gurgaon,Droom is a marketplace for automobiles and automobile services.,E-commerce
Vogo Rentals,Debt Financing,1000000.0,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,Transportation & Logistics
InnerChef,Unknown Stage,1760000.0,Gurgaon,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,Food & Beverage
LivQuik,Later Stage,2700000.0,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,E-commerce
Disprz,Debt Financing,400000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",Education
9stacks,Series A,1000000.0,Delhi,Online gaming startup.,Sports
Origo,Unknown Stage,1000000.0,Gurgaon,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",Technology
YourOwnROOM,Seed,750000.0,Bangalore,"Good quality, strategically located homes closer to work for millennials",Real Estate
Vahdam Teas,Series B,2500000.0,New Delhi,Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,Food & Beverage
Spoofin,Unknown Stage,1000000.0,New Delhi,A social networking app that lets you create and view Spoofs of your favourite videos.,Media & Entertainment
Strom Motors,Angel,1000000.0,Mumbai,Strom Motors is a smart urban mobility Company.,Engineering
PharmEasy,Series C,80000000.0,Mumbai,PharmEasy - Indias largest healthcare delivery platform,Healthcare
Licious,Series C,25000000.0,Bengaluru,"Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",Food & Beverage
Stanza Living,Unknown Stage,1000000.0,New Delhi,Stanza Living is a co-living platform created for students moving to a new place.,Hospitality
docturnal,Seed,1000000.0,Hyderabad,"Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",Healthcare
Bounce (Metro Bikes),Debt Financing,3000000.0,Bangalore,"Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",Transportation & Logistics
Technology 9 Labs (T9L),Later Stage,1000000.0,New Delhi,Technology 9 Labs is an Information Technology and Services company.,Technology
Goals101,Seed,3500000.0,Delhi,Goals101 is a one of the fastest growing big-data platforms.,Finance
Satya MicroCapital,Unknown Stage,1000000.0,New Delhi,New Delhi-based non-banking financial company.,Finance
Ummeed Housing Finance Private Limited,Series C,1000000.0,Haryana,Ummeed Housing Finance Private Limited,Finance
StockEdge,Seed,1100000.0,Kolkata,"StockEdge is a unique platform, which is 100% focused on research and analytics",Technology
Sequretek,Unknown Stage,3700000.0,Mumbai,Sequretek is a cyber security start-up.,Technology
Avenues Payments India Pvt. Ltd.,Later Stage,1300000.0,Mumbai,Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,Technology
Qbera,Unknown Stage,1000000.0,Bangalore,Qbera is a managed marketplace for unsecured personal loans.,Finance
Urban Ladder,Debt Financing,5600000.0,Bangalore,Urban Ladder is a Bangalore-based online furniture company.,E-commerce
Planet11 eCommerce Solutions India (Avenue11),Later Stage,1000000.0,Bengaluru,"Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",Technology
DailyNinja,Series A,1000000.0,Bengaluru,"Daily Ninja, a mobile app that delivers daily needs on a subscription model",Technology
Iba Halal Care,Series A,1000000.0,Ahmedabad,Iba Halal Care is a cosmetics brand company.,Technology
Knocksense,Seed,1000000.0,Lucknow,Knocksense is a fast growing lifestyle website.,Media & Entertainment
Togedr,Unknown Stage,1000000.0,Gurgaon,Togedr is an activity discovery & booking platform.,Technology
Parkwheels,Seed,1000000.0,Haryana,"Parkwheels aims at solving the big, bad & unsexy parking problems of India.",Engineering
